Территориальная зона;Наименование зоны;Разрешение;Индекс ВРИ;Наименование ВРИ
Ж-1;Зона застройки среднеэтажными жилыми домами;Основной;2.5;Среднеэтажная жилая застройка
Ж-1;Зона застройки среднеэтажными жилыми домами;Основной;2.1;Для индивидуального жилищного строительства
Ж-1;Зона застройки среднеэтажными жилыми домами;Условно разрешённый;3.5.1;Дошкольное, начальное и среднее общее образование
Ж-1;Зона застройки среднеэтажными жилыми домами;Вспомогательный;12.0;Земельные участки общего пользования
П-1;Зона производственных объектов;Основной;6.9;Склады
П-1;Зона производственных объектов;Основной;6.0;Производственная деятельность
П-1;Зона производственных объектов;Условно разрешённый;4.9.1;Заправка транспортных средств
П-1;Зона производственных объектов;Вспомогательный;12.0;Земельные участки общего пользования
Р-1;Зона рекреационного назначения;Основной;5.0;Отдых (рекреация)
Р-1;Зона рекреационного назначения;Основной;5.1;Спорт
Р-1;Зона рекреационного назначения;Условно разрешённый;4.6;Общественное питание
Р-1;Зона рекреационного назначения;Вспомогательный;12.0;Земельные участки общего пользования
